Embarcacion,NOMBRE,FLOTA,C LOG,Mes,C Costo EP,Sin Pesca Norte,CHIN,CHIS,Sin Pesca Sur,CHD,Sin Pesca CHD,TOTAL Galones,TOTAL TM/descarga,KM Recorrido
TASA 37,COSTA AZUL,3,T037,FEBRERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4935648669634
TASA 38,TARATA 3,3,T038,FEBRERO,380.0,0.0,0.0,1530.0,1150.0,0.0,0.0,3060.0,436.31,973.1983965506702
TASA 41,DON ANGEL,4,T041,FEBRERO,150.0,0.0,0.0,0.0,0.0,24741.0,209.0,25100.0,2026.664,4603.680112221423
TASA 411,SIPAN,2,T411,FEBRERO,415.0,0.0,0.0,0.0,0.0,0.0,0.0,415.0,0.0,61.1618769982089
TASA 412,SECHIN II,2,T412,FEBRERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.898294404913758
TASA 413,OLMOS II,2,T413,FEBRERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4935648669634
TASA 414,ESTRELLA,2,T414,FEBRERO,175.0,0.0,0.0,1285.0,1710.0,0.0,0.0,3170.0,271.645,4.052415924149972
TASA 415,INDEPENDENCIA I,2,T415,FEBRERO,130.0,0.0,0.0,0.0,0.0,0.0,0.0,130.0,0.0,90.4935648669634
TASA 416,SALKANTAY,2,T416,FEBRERO,320.0,0.0,0.0,3110.0,1580.0,0.0,0.0,5010.0,811.05,1665.3071810002762
TASA 417,INANSA,2,T417,FEBRERO,155.0,0.0,0.0,0.0,1575.0,0.0,0.0,1730.0,0.0,666.7752187313076
TASA 418,INDEPENDENCIA II,2,T418,FEBRERO,330.0,0.0,0.0,2850.0,1600.0,0.0,0.0,4780.0,1148.5,2232.073786545419
TASA 419,DOÑA BEILA,4,T419,FEBRERO,50.0,0.0,0.0,0.0,0.0,15170.0,0.0,15220.0,1490.129,4474.476544341506
TASA 42,CARMEN LUISA,4,T042,FEBRERO,1100.0,0.0,0.0,0.0,0.0,21100.0,0.0,22200.0,1378.669,4029.621389594622
TASA 420,GUILLERMO,2,T420,FEBRERO,450.0,0.0,0.0,0.0,0.0,0.0,0.0,450.0,0.0,106.20075677534851
TASA 424,BRAVO 4,3,T424,FEBRERO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.4935648669634
TASA 425,BRAVO 9,2,T425,FEBRERO,680.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,135.86793526230446
TASA 426,DON ENRIQUE,3,T426,FEBRERO,120.0,0.0,0.0,0.0,0.0,0.0,0.0,120.0,0.0,90.4935648669634
TASA 427,ESTHER 7,4,T427,FEBRERO,1800.0,0.0,0.0,0.0,0.0,0.0,0.0,1800.0,0.0,345.5257886710817
TASA 43,TASA 43,2,T043,FEBRERO,1150.0,0.0,0.0,0.0,0.0,0.0,0.0,1150.0,0.0,19.63912809118117
TASA 44,TASA 44,2,T044,FEBRERO,720.0,0.0,0.0,0.0,0.0,0.0,0.0,720.0,0.0,24.28385446973807
TASA 45,TASA 45,2,T045,FEBRERO,680.0,0.0,0.0,0.0,0.0,0.0,0.0,680.0,0.0,135.86793526230446
TASA 51,SIPESA 63,4,T051,FEBRERO,2190.0,0.0,0.0,0.0,0.0,0.0,0.0,2190.0,0.0,60.97101419350567
TASA 52,SIPESA 62,4,T052,FEBRERO,425.0,0.0,0.0,0.0,0.0,4480.0,2820.0,7725.0,408.292,1115.8959867980043
TASA 53,MARU 2,4,T053,FEBRERO,1180.0,0.0,0.0,0.0,0.0,0.0,0.0,1180.0,0.0,787.3135127969189
TASA 54,JAVIER,4,T054,FEBRERO,3025.0,0.0,0.0,0.0,0.0,13160.0,0.0,16185.0,403.589,1922.475703173567
TASA 55,TASA 55,4,T055,FEBRERO,320.0,0.0,0.0,0.0,0.0,35545.0,0.0,35865.0,2547.8,6592.017365069151
TASA 56,SANTA ENMA,4,T056,FEBRERO,0.0,0.0,0.0,0.0,0.0,34500.0,950.0,35450.0,2089.428,7232.476776135139
TASA 57,COPETSA 4,4,T057,FEBRERO,1220.0,0.0,0.0,0.0,0.0,8130.0,750.0,10100.0,644.825,2474.025209862699
TASA 58,COPETSA 2,4,T058,FEBRERO,360.0,0.0,0.0,0.0,0.0,21230.0,0.0,21590.0,1777.155,4451.150959391498
TASA 59,COPETSA 1,4,T059,FEBRERO,0.0,0.0,0.0,0.0,0.0,31090.0,0.0,31090.0,2592.032,5546.532237711447
TASA 61,SEBASTIAN,2,T061,FEBRERO,3340.0,0.0,0.0,0.0,0.0,0.0,0.0,3340.0,0.0,1008.2823749364655
